"Player","X.","Pos","Height","Weight","Birthdate","Age","Exp","School","How.Acquired","tm"
"Chris Ledlum",43,"F","6-6","242 lbs","FEB 19, 2001",24,"R","St. John's","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Jermaine Samuels Jr.",46,"F","6-7","230 lbs","NOV 13, 1998",26,"1","Villanova","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Kennedy Chandler",47,"G","6-0","171 lbs","SEP 16, 2002",22,"1","Tennessee","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Moses Brown",49,"C","7-2","245 lbs","OCT 13, 1999",25,"6","UCLA","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Mylik Wilson",51,"G","6-2","175 lbs","SEP 20, 2000",24,"R","Houston","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Great Osobor",54,"F","6-8","245 lbs","DEC 13, 2002",22,"R","Washington","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Uroš Trifunovic",56,"G-F","6-7","194 lbs","DEC 05, 2000",24,"R","Serbia","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Taelon Peter",4,"G","6-4","185 lbs","FEB 27, 2002",23,"R","Liberty","#54 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Kam Jones",7,"G","6-4","200 lbs","FEB 25, 2002",23,"R","Marquette","Draft Rights Traded from SAS on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Enrique Freeman",8,"F","6-7","225 lbs","JUL 29, 2000",24,"1","Akron","#50 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"RayJ Dennis",10,"G","6-2","180 lbs","MAR 30, 2001",24,"1","Baylor","Signed on 01/03/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"R.J. Felton",11,"G","6-3","200 lbs","MAY 28, 2002",23,"R","East Carolina","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Johnny Furphy",12,"F","6-7","195 lbs","DEC 08, 2004",20,"1","Kansas","Draft Rights Traded from SAS on 07/06/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Hunter Maldonado",13,"G-F","6-7","202 lbs","MAR 24, 1999",26,"R","Wyoming","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Josiah-Jordan James",14,"F","6-6","224 lbs","SEP 05, 2000",24,"R","Tennessee","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Samson Johnson",18,"C","6-10","225 lbs","JUL 28, 2002",22,"R","Connecticut","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Steven Ashworth",21,"G","6-1","170 lbs","MAY 01, 2000",25,"R","Creighton","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Phillip Wheeler",24,"F","6-8","185 lbs","APR 23, 2002",23,"1","Ranney School (NJ)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Robert Baker",27,"F-C","6-10","210 lbs","JUN 28, 1998",27,"R","Harvard","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Keisei Tominaga",28,"G","6-2","175 lbs","FEB 01, 2001",24,"R","Nebraska","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Quenton Jackson",29,"G","6-5","180 lbs","SEP 15, 1998",26,"3","Texas A&M","Signed on 03/04/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Buddy Boeheim",32,"F","6-5","205 lbs","NOV 11, 1999",25,"2","Syracuse","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612754/pacers"
"Kobe Sanders",4,"G","6-9","207 lbs","MAY 30, 2002",23,"R","Nevada","Draft Rights Traded from NYK on 06/26/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Trentyn Flowers",9,"F","6-9","185 lbs","MAR 08, 2005",20,"1","Adelaide","Signed on 07/24/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Jordan Miller",11,"F","6-5","194 lbs","JAN 23, 2000",25,"2","Miami","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Cam Christie",12,"G","6-6","190 lbs","JUL 24, 2005",19,"1","Minnesota","#46 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Yanic Konan Niederhäuser",14,"C","6-11","242 lbs","MAR 14, 2003",22,"R","Penn State","#30 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Kobe Brown",21,"F","6-7","250 lbs","JAN 01, 2000",25,"2","Missouri","#30 Pick in 2023 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Patrick Baldwin Jr.",23,"F","6-9","220 lbs","NOV 18, 2002",22,"3","Wisconsin-Milwaukee","Signed on 03/01/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Zavier Simpson",35,"G","6-0","190 lbs","FEB 11, 1997",28,"2","Michigan","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"John Poulakidas",42,"G","6-6","205 lbs","APR 04, 2003",22,"R","Yale","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Izaiah Brockington",45,"G","6-4","196 lbs","JUL 12, 1999",25,"2","Iowa State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Juwan Gary",50,"F","6-6","226 lbs","FEB 17, 2001",24,"R","Nebraska","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Jahmyl Telfort",51,"F","6-7","225 lbs","APR 30, 2001",24,"R","Butler","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612746/clippers"
"Dalton Knecht",4,"G","6-6","212 lbs","APR 19, 2001",24,"1","Tennessee","#17 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Bronny James",9,"G","6-2","210 lbs","OCT 06, 2004",20,"1","Southern California","#55 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Christian Koloko",10,"C","7-0","230 lbs","JUN 20, 2000",25,"2","Arizona","Signed on 09/16/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"RJ Davis",26,"G","6-0","175 lbs","OCT 20, 2001",23,"R","North Carolina","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"DJ Steward",27,"G","6-2","162 lbs","OCT 02, 2001",23,"4","Duke","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Sam Mennenga",29,"F","6-9","240 lbs","DEC 12, 2001",23,"R","New Zealand Breakers","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Augustas Marciulionis",31,"G","6-4","200 lbs","MAR 21, 2002",23,"R","Saint Mary's","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Darius Bazley",36,"F","6-9","216 lbs","JUN 12, 2000",25,"6","Princeton HS (OH)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"TY Johnson",38,"G","6-3","190 lbs","JAN 01, 2002",23,"R","UC Davis","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Sir'Jabari Rice",40,"G","6-4","180 lbs","DEC 28, 1998",26,"2","Texas","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Cole Swider",41,"F","6-8","220 lbs","MAY 08, 1999",26,"3","Syracuse","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Eric Dixon",43,"F","6-8","259 lbs","JAN 26, 2004",21,"R","Villanova","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"DaJaun Gordon",45,"G","6-4","190 lbs","JAN 10, 2001",24,"1","UT Arlington","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Julian Reese",50,"F","6-9","252 lbs","JUN 30, 2003",22,"R","Maryland","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Ethan Taylor",54,"G","6-5","205 lbs","JAN 06, 2002",23,"R","Air Force","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Trey Jemison III",55,"C","6-11","275 lbs","NOV 28, 1999",25,"2","Alabama-Birmingham","Signed on 01/15/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Arthur Kaluma",65,"F","6-7","223 lbs","MAR 01, 2002",23,"R","Texas","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612747/lakers"
"Armando Bacot",0,"C","6-10","240 lbs","MAR 06, 2000",25,"R","North Carolina","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Jaylen Wells",0,"G-F","6-6","206 lbs","AUG 26, 2003",21,"1","Washington State","#39 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Ace Baldwin Jr.",1,"G","6-1","190 lbs","JUN 07, 2001",24,"R","Penn State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Zyon Pullin",2,"G","6-3","202 lbs","MAR 03, 2001",24,"1","Florida","Signed on 01/10/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Tyler Burton",3,"G-F","6-7","215 lbs","FEB 11, 2000",25,"R","Villanova","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Phlandrous Fleming Jr.",4,"G","6-4","210 lbs","DEC 05, 1998",26,"R","Florida","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Bo Montgomery",7,"G","6-5","205 lbs","APR 27, 2001",24,"R","UNC Wilmington","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Nate Hinton",8,"G-F","6-5","210 lbs","JUN 08, 1999",26,"3","Houston","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Javon Small",10,"G","6-1","190 lbs","DEC 19, 2002",22,"R","West Virginia","#48 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Efton Reid III",16,"C","7-0","250 lbs","FEB 03, 2002",23,"R","Wake Forest","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Ante Brzovich",19,"C","6-10","220 lbs","JUN 02, 2000",25,"R","Charleston","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Jahmai Mashack",21,"G","6-3","197 lbs","NOV 10, 2002",22,"R","Tennessee","Draft Rights Traded from GSW on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Jeremy Jones",22,"G-F","6-7","213 lbs","JUN 11, 1996",29,"R","Gonzago","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Cedric Coward",23,"G-F","6-5","213 lbs","SEP 11, 2003",21,"R","Washington State","Draft Rights Traded from POR on 06/25/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Cam Spencer",24,"G","6-3","201 lbs","APR 06, 2000",25,"1","Connecticut","Draft Rights Traded from DET on 07/06/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Will Magnay",25,"C","6-10","234 lbs","JUN 10, 1998",27,"1","Brisbane","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Lawson Lovering",34,"C","7-1","235 lbs","MAY 09, 2003",22,"R","Utah","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"GG Jackson",45,"F-C","6-9","215 lbs","DEC 17, 2004",20,"1","South Carolina","#45 Pick in 2023 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Aaron Estrada",55,"G","6-3","190 lbs","FEB 03, 2001",24,"R","Alabama","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612763/grizzlies"
"Kel'el Ware",7,"C","7-1","240 lbs","APR 20, 2004",21,"1","Indiana","#15 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Pelle Larsson",9,"G","6-5","215 lbs","FEB 23, 2001",24,"1","Arizona","Draft Rights Traded from HOU on 06/27/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Keshad Johnson",16,"F","6-6","230 lbs","JUN 23, 2001",24,"1","Arizona","Signed on 07/01/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Kasparas Jakučionis",25,"G","6-6","205 lbs","MAY 29, 2006",19,"R","Illinois-Urbana-Champaign","#20 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Vladislav Goldin",50,"C","7-1","250 lbs","MAY 12, 2001",24,"R","Michigan","Signed on 07/02/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Kira Lewis Jr.",53,"G","6-1","170 lbs","APR 06, 2001",24,"4","Alabama","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Bryson Warren",55,"G","6-3","185 lbs","OCT 14, 2004",20,"R","Overtime Elite","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Marcus Williams",56,"G","6-2","200 lbs","JUL 29, 2002",22,"R","San Francisco","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"JC Butler",57,"G","6-5","190 lbs","APR 13, 2000",25,"R","UC Irvine","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Javonte Cooke",59,"F","6-6","185 lbs","JUL 11, 1999",26,"R","Winston-Salem State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Erik Stevenson",64,"G","6-4","205 lbs","APR 28, 1999",26,"R","West Virginia","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Steve Settle III",68,"F","6-10","190 lbs","FEB 20, 2001",24,"R","Temple","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Myron Gardner",75,"F","6-6","220 lbs","MAY 21, 2001",24,"R","Little Rock","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Dain Dainja",84,"F","6-9","255 lbs","JUL 16, 2002",22,"R","Memphis","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Oumar Ballo",85,"C","6-11","275 lbs","JUL 13, 2002",22,"R","Indiana","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612748/heat"
"Stanley Moody",NA,"","","lbs","JAN 01, 1995",30,"R","","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Chris Livingston",7,"F","6-6","220 lbs","OCT 15, 2003",21,"2","Kentucky","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Jamaree Bouyea",15,"G","6-2","180 lbs","JUN 27, 1999",26,"3","San Francisco","Signed on 03/04/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Mark Sears",19,"G","6-1","185 lbs","FEB 19, 2002",23,"R","Alabama","Signed on 07/03/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Tyler Smith",21,"F","6-9","220 lbs","NOV 02, 2004",20,"1","NBA G League Ignite","#33 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Bogoljub Marković",23,"F","6-11","210 lbs","JUL 12, 2005",19,"R","Mega Basket","#47 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Markquis Nowell",25,"G","5-7","160 lbs","DEC 25, 1999",25,"1","Kansas State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"John Butler Jr.",26,"C","7-0","190 lbs","DEC 04, 2002",22,"1","Florida State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Terrence Edwards Jr.",27,"G","6-6","190 lbs","MAY 20, 2002",23,"R","Louisville","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Frankie Fidler",28,"G","6-7","217 lbs","APR 25, 2003",22,"R","Michigan State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Cormac Ryan",29,"G","6-5","195 lbs","OCT 26, 1998",26,"R","UNC","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Gary Chivichyan",30,"G","6-4","200 lbs","JUL 17, 1996",28,"R","Pacific","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Rob Disibio",31,"F","6-6","210 lbs","DEC 08, 2000",24,"R","Washington & Lee","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Pete Nance",35,"F","6-10","220 lbs","FEB 19, 2000",25,"2","North Carolina","Signed on 02/27/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Malik Williams",37,"C","6-11","250 lbs","AUG 26, 1998",26,"1","Louisville","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"David Joplin",38,"F","6-8","225 lbs","NOV 18, 2002",22,"R","Marquette","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Keita Bates-Diop",39,"F","6-8","229 lbs","JAN 23, 1996",29,"6","Ohio State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Blaise Threatt",40,"G","6-3","210 lbs","SEP 08, 2000",24,"R","Weber State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Wade Taylor IV",41,"G","6-0","180 lbs","JUN 05, 2003",22,"R","Texas A&M","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Andre Jackson Jr.",44,"G-F","6-6","209 lbs","NOV 13, 2001",23,"2","Connecticut","Draft Rights Traded from ORL on 06/22/23","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Jean-Jacques Boissy",47,"G","6-0","146 lbs","JAN 28, 2000",25,"R","Senegal","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612749/bucks"
"Terrence Shannon Jr.",1,"G","6-6","229 lbs","JUL 30, 2000",24,"1","Illinois","#27 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Rob Dillingham",4,"G","6-2","170 lbs","JAN 04, 2005",20,"1","Kentucky","Draft Rights Traded from SAS on 06/26/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Des Watson",12,"G","6-5","214 lbs","JUN 15, 2003",22,"R","Loyola (IL)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Tristen Newton",13,"G","6-5","201 lbs","APR 26, 2001",24,"1","Connecticut","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Jesse Edwards",14,"C","7-0","248 lbs","MAR 18, 2000",25,"1","West Virginia","Signed on 07/09/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Martez Brown",16,"F","6-8","216 lbs","OCT 08, 2000",24,"R","Lincoln Memorial University","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Babacar Sane",17,"F","6-7","230 lbs","SEP 19, 2003",21,"R","NBA G League Ignite","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Joan Beringer",19,"C","6-11","230 lbs","NOV 11, 2006",18,"R","Cedevita Olimpija","#17 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Nojel Eastern",20,"G","6-5","238 lbs","MAY 26, 1999",26,"R","Purdue","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Jaylen Clark",22,"G","6-4","221 lbs","OCT 13, 2001",23,"1","UCLA","#53 Pick in 2023 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Jamal Cain",23,"F","6-7","202 lbs","MAR 20, 1999",26,"3","Oakland","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Amari Bailey",24,"G","6-5","185 lbs","FEB 17, 2004",21,"1","UCLA","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"CJ Fulton",31,"G","6-2","185 lbs","JUN 24, 2002",23,"R","Charleston","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Leonard Miller",33,"F","6-10","226 lbs","NOV 26, 2003",21,"3","NBA G League Ignite","Draft Rights Traded from SAS on 06/23/23","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Rocco Zikarsky",44,"C","7-3","223 lbs","JUL 11, 2006",19,"R","Brisbane","Draft Rights Traded from LAL on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612750/timberwolves"
"Jeremiah Fears",0,"G","6-3","180 lbs","OCT 14, 2006",18,"R","Oklahoma","#7 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Hunter Dickinson",4,"C","7-2","265 lbs","NOV 25, 2000",24,"R","Michigan","Signed on 07/03/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Keion Brooks Jr.",11,"F","6-7","210 lbs","AUG 07, 2000",24,"1","Washington","Signed on 09/23/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Antonio Reeves",12,"G","6-5","189 lbs","NOV 20, 2002",22,"1","Kentucky","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Micah Peavy",14,"F","6-6","212 lbs","JUL 16, 2001",23,"R","Georgetown","Draft Rights Traded from WAS on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Chase Hunter",20,"G","6-4","202 lbs","APR 08, 2001",24,"R","Clemson","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Yves Missi",21,"C","6-11","236 lbs","MAY 14, 2004",21,"1","Baylor","#21 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Derik Queen",22,"F-C","6-9","248 lbs","DEC 27, 2004",20,"R","Maryland","Draft Rights Traded from ATL on 06/25/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Trey Alexander",23,"G","6-4","185 lbs","MAY 02, 2003",22,"1","Creighton","Signed on 07/03/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Trey Townsend",28,"F","6-6","212 lbs","AUG 30, 2002",22,"R","Arizona","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Lester Quinones",30,"G","6-4","208 lbs","NOV 16, 2000",24,"3","Memphis","Signed on 03/02/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Tytan Anderson",32,"F","6-6","185 lbs","APR 17, 2002",23,"R","Northern Iowa","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Christian Shumate",42,"F","6-6","213 lbs","JUL 24, 2002",22,"R","McNeese State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Will Baker",50,"C","6-11","240 lbs","DEC 31, 2000",24,"R","LSU","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"AJ Hoggard",55,"G","6-3","220 lbs","SEP 25, 2000",24,"R","Vanderbilt","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612740/pelicans"
"Pacome Dadiet",4,"F","6-8","210 lbs","JUL 27, 2005",19,"1","Paris Basketball","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Kevin McCullar Jr.",9,"F","6-6","210 lbs","MAR 15, 2001",24,"1","Kansas","Draft Rights Traded from PHX on 06/27/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Tyler Kolek",13,"G","6-3","195 lbs","MAR 27, 2001",24,"1","Marquette","Draft Rights Traded from POR on 06/27/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"MarJon Beauchamp",14,"F","6-7","199 lbs","OCT 12, 2000",24,"3","NBA G League Ignite","Signed on 03/04/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Yudai Baba",18,"G","6-5","198 lbs","NOV 07, 1995",29,"R","University of Tsukuba","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Anton Watson",21,"F","6-8","225 lbs","OCT 06, 2000",24,"1","Gonzaga","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Jamal Bey",26,"G","6-6","210 lbs","SEP 05, 1999",25,"R","Washington","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Biwali Bayles",27,"G","6-1","185 lbs","FEB 14, 2002",23,"R","Hawaii","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Dink Pate",28,"G","6-7","201 lbs","MAR 10, 2006",19,"R","NBA G League Ignite","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Jaden Campbell",29,"G","6-5","205 lbs","JAN 05, 2000",25,"R","Samford","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Devone Grant",30,"G","6-2","185 lbs","MAR 30, 2001",24,"R","Duquesne","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Nick Jourdain",31,"G-F","6-7","231 lbs","JUN 29, 2001",24,"R","Memphis","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Luka Scuka",35,"F","6-10","227 lbs","MAY 23, 2002",23,"R","Cedevita Olimpija","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Lance Ware",45,"C","6-10","220 lbs","FEB 08, 2001",24,"R","UT-Arlington","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"James Nnaji",46,"C","6-11","250 lbs","AUG 14, 2004",20,"R","FC Barcelona","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Mohamed Diawara",51,"F","6-10","228 lbs","APR 29, 2005",20,"R","Paris Basketball","Draft Rights Traded from LAC on 06/26/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Ariel Hukporti",55,"C","6-11","246 lbs","APR 12, 2002",23,"1","Riesen Ludwigsburg","Draft Rights Traded from DAL on 06/27/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612752/knicks"
"Thomas Sorber",12,"C","6-9","270 lbs","DEC 25, 2005",19,"R","Georgetown","#15 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612760/thunder"
"Branden Carlson",15,"C","7-0","227 lbs","JUN 14, 1999",26,"1","Utah","Signed on 11/16/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612760/thunder"
"Cameron Brown",16,"F","6-5","218 lbs","MAY 10, 2001",24,"R","St. Joseph's","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612760/thunder"
"Malevy Leons",17,"F","6-9","196 lbs","SEP 23, 1999",25,"1","Bradley","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612760/thunder"
"Brooks Barnhizer",23,"F","6-5","227 lbs","MAR 02, 2002",23,"R","Northwestern","#44 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612760/thunder"
